station_id,station_name,geography,station_line,station_lat,station_lon,hotel_count,coffee_shop_count,bar_count,pharmacy_count,restauran_count,total_amenity_count,category
37,DUPONT CIRCLE METRO STATION,Urban,Red,38.911129,-77.044428,18,10,20,6,45,99,18 hour
1,MT VERNON SQ/7TH ST-CONVENTION CENTER METRO STATION,Downtown,"Green,  Yellow",38.901056,-77.022025,13,9,11,4,45,82,18 hour
20,U STREET METRO STATION,Urban,Green,38.917015,-77.029169,3,4,31,3,38,79,18 hour
38,FARRAGUT NORTH METRO STATION,Downtown,Red,38.903297,-77.039502,10,9,12,2,34,67,18 hour
55,BETHESDA METRO STATION,Suburban,Red,38.984431,-77.094151,4,4,3,4,48,63,18 hour
15,MCPHERSON SQ METRO STATION,Downtown,"Blue, Orange, Silver",38.901335,-77.031958,14,4,9,2,33,62,18 hour
39,FOGGY BOTTOM METRO STATION,Urban,"Blue, Orange, Silver",38.900705,-77.050026,18,9,5,4,24,60,18 hour
2,SHAW METRO STATION,Urban,Green,38.914546,-77.021927,1,2,16,2,38,59,18 hour
66,SILVER SPRING METRO STATION,Suburban,Red,38.993658,-77.032307,3,6,9,4,31,53,18 hour
21,COLUMBIA HEIGHTS METRO STATION,Urban,Green,38.928711,-77.032454,0,5,10,2,35,52,18 hour
77,BALLSTON METRO STATION,Suburban,"Orange, Silver",38.882238,-77.11155,5,9,5,3,28,50,18 hour
9,NAVY YARD METRO STATION,Urban,Green,38.876517,-77.004749,7,7,9,2,25,50,18 hour
8,EASTERN MARKET METRO STATION,Urban,"Blue, Orange, Silver",38.884148,-76.99501,1,8,9,1,30,49,18 hour
22,GEORGIA AVE PETWORTH METRO STATION,Urban,Green,38.936255,-77.024252,0,6,13,2,28,49,18 hour
71,CLARENDON METRO STATION,Suburban,"Orange, Silver",38.887176,-77.094987,0,6,11,1,30,48,18 hour
74,CRYSTAL CITY METRO STATION,Suburban,"Blue, Yellow",38.857817,-77.050346,8,4,7,1,21,41,18 hour
6,NOMA-GALLAUDET U METRO STATION,Urban,Red,38.907413,-77.002981,8,3,11,2,15,39,18 hour
5,GALLERY PLACE CHINATOWN METRO STATION,Downtown,"Red, Green, Yellow",38.898354,-77.021527,2,2,10,0,23,37,18 hour
3,METRO CENTER METRO STATION,Downtown,"Red, Blue, Orange, Silver",38.898327,-77.027777,6,4,5,2,20,37,18 hour
